Canadian Interest Rates


Weekly (Wednesday) series: 2015-09-09 - 2025-09-03
V80691310 = Bank rate

Summary,Date,V80691310
Low,2022-03-02,0.50
High,2024-06-05,5.25
Average,2015-09-09 - 2025-09-03,2.10

Date,V80691310
2025-09-03, 3.00
2025-08-27, 3.00
2025-08-20, 3.00
2025-08-13, 3.00
2025-08-06, 3.00
2025-07-30, 3.00
2025-07-23, 3.00
2025-07-16, 3.00
2025-07-09, 3.00
2025-07-02, 3.00
2025-06-25, 3.00
2025-06-18, 3.00
2025-06-11, 3.00
2025-06-04, 3.00
2025-05-28, 3.00
2025-05-21, 3.00
2025-05-14, 3.00
2025-05-07, 3.00
2025-04-30, 3.00
2025-04-23, 3.00
2025-04-16, 3.00
2025-04-09, 3.00
2025-04-02, 3.00
2025-03-26, 3.00
2025-03-19, 3.00
2025-03-12, 3.25
2025-03-05, 3.25
2025-02-26, 3.25
2025-02-19, 3.25
2025-02-12, 3.25
2025-02-05, 3.25
2025-01-29, 3.50
2025-01-22, 3.50
2025-01-15, 3.50
2025-01-08, 3.50
2025-01-01, 3.50
2024-12-25, 3.50
2024-12-18, 3.50
2024-12-11, 4.00
2024-12-04, 4.00
2024-11-27, 4.00
2024-11-20, 4.00
2024-11-13, 4.00
2024-11-06, 4.00
2024-10-30, 4.00
2024-10-23, 4.50
2024-10-16, 4.50
2024-10-09, 4.50
2024-10-02, 4.50
2024-09-25, 4.50
2024-09-18, 4.50
2024-09-11, 4.50
2024-09-04, 4.75
2024-08-28, 4.75
2024-08-21, 4.75
2024-08-14, 4.75
2024-08-07, 4.75
2024-07-31, 4.75
2024-07-24, 5.00
2024-07-17, 5.00
2024-07-10, 5.00
2024-07-03, 5.00
2024-06-26, 5.00
2024-06-19, 5.00
2024-06-12, 5.00
2024-06-05, 5.25
2024-05-29, 5.25
2024-05-22, 5.25
2024-05-15, 5.25
2024-05-08, 5.25
2024-05-01, 5.25
2024-04-24, 5.25
2024-04-17, 5.25
2024-04-10, 5.25
2024-04-03, 5.25
2024-03-27, 5.25
2024-03-20, 5.25
2024-03-13, 5.25
2024-03-06, 5.25
2024-02-28, 5.25
2024-02-21, 5.25
2024-02-14, 5.25
2024-02-07, 5.25
2024-01-31, 5.25
2024-01-24, 5.25
2024-01-17, 5.25
2024-01-10, 5.25
2024-01-03, 5.25
2023-12-27, 5.25
2023-12-20, 5.25
2023-12-13, 5.25
2023-12-06, 5.25
2023-11-29, 5.25
2023-11-22, 5.25
2023-11-15, 5.25
2023-11-08, 5.25
2023-11-01, 5.25
2023-10-25, 5.25
2023-10-18, 5.25
2023-10-11, 5.25
2023-10-04, 5.25
2023-09-27, 5.25
2023-09-20, 5.25
2023-09-13, 5.25
2023-09-06, 5.25
2023-08-30, 5.25
2023-08-23, 5.25
2023-08-16, 5.25
2023-08-09, 5.25
2023-08-02, 5.25
2023-07-26, 5.25
2023-07-19, 5.25
2023-07-12, 5.00
2023-07-05, 5.00
2023-06-28, 5.00
2023-06-21, 5.00
2023-06-14, 5.00
2023-06-07, 4.75
2023-05-31, 4.75
2023-05-24, 4.75
2023-05-17, 4.75
2023-05-10, 4.75
2023-05-03, 4.75
2023-04-26, 4.75
2023-04-19, 4.75
2023-04-12, 4.75
2023-04-05, 4.75
2023-03-29, 4.75
2023-03-22, 4.75
2023-03-15, 4.75
2023-03-08, 4.75
2023-03-01, 4.75
2023-02-22, 4.75
2023-02-15, 4.75
2023-02-08, 4.75
2023-02-01, 4.75
2023-01-25, 4.50
2023-01-18, 4.50
2023-01-11, 4.50
2023-01-04, 4.50
2022-12-28, 4.50
2022-12-21, 4.50
2022-12-14, 4.50
2022-12-07, 4.00
2022-11-30, 4.00
2022-11-23, 4.00
2022-11-16, 4.00
2022-11-09, 4.00
2022-11-02, 4.00
2022-10-26, 3.50
2022-10-19, 3.50
2022-10-12, 3.50
2022-10-05, 3.50
2022-09-28, 3.50
2022-09-21, 3.50
2022-09-14, 3.50
2022-09-07, 2.75
2022-08-31, 2.75
2022-08-24, 2.75
2022-08-17, 2.75
2022-08-10, 2.75
2022-08-03, 2.75
2022-07-27, 2.75
2022-07-20, 2.75
2022-07-13, 1.75
2022-07-06, 1.75
2022-06-29, 1.75
2022-06-22, 1.75
2022-06-15, 1.75
2022-06-08, 1.75
2022-06-01, 1.25
2022-05-25, 1.25
2022-05-18, 1.25
2022-05-11, 1.25
2022-05-04, 1.25
2022-04-27, 1.25
2022-04-20, 1.25
2022-04-13, 0.75
2022-04-06, 0.75
2022-03-30, 0.75
2022-03-23, 0.75
2022-03-16, 0.75
2022-03-09, 0.75
2022-03-02, 0.50
2022-02-23, 0.50
2022-02-16, 0.50
2022-02-09, 0.50
2022-02-02, 0.50
2022-01-26, 0.50
2022-01-19, 0.50
2022-01-12, 0.50
2022-01-05, 0.50
2021-12-29, 0.50
2021-12-22, 0.50
2021-12-15, 0.50
2021-12-08, 0.50
2021-12-01, 0.50
2021-11-24, 0.50
2021-11-17, 0.50
2021-11-10, 0.50
2021-11-03, 0.50
2021-10-27, 0.50
2021-10-20, 0.50
2021-10-13, 0.50
2021-10-06, 0.50
2021-09-29, 0.50
2021-09-22, 0.50
2021-09-15, 0.50
2021-09-08, 0.50
2021-09-01, 0.50
2021-08-25, 0.50
2021-08-18, 0.50
2021-08-11, 0.50
2021-08-04, 0.50
2021-07-28, 0.50
2021-07-21, 0.50
2021-07-14, 0.50
2021-07-07, 0.50
2021-06-30, 0.50
2021-06-23, 0.50
2021-06-16, 0.50
2021-06-09, 0.50
2021-06-02, 0.50
2021-05-26, 0.50
2021-05-19, 0.50
2021-05-12, 0.50
2021-05-05, 0.50
2021-04-28, 0.50
2021-04-21, 0.50
2021-04-14, 0.50
2021-04-07, 0.50
2021-03-31, 0.50
2021-03-24, 0.50
2021-03-17, 0.50
2021-03-10, 0.50
2021-03-03, 0.50
2021-02-24, 0.50
2021-02-17, 0.50
2021-02-10, 0.50
2021-02-03, 0.50
2021-01-27, 0.50
2021-01-20, 0.50
2021-01-13, 0.50
2021-01-06, 0.50
2020-12-30, 0.50
2020-12-23, 0.50
2020-12-16, 0.50
2020-12-09, 0.50
2020-12-02, 0.50
2020-11-25, 0.50
2020-11-18, 0.50
2020-11-11, 0.50
2020-11-04, 0.50
2020-10-28, 0.50
2020-10-21, 0.50
2020-10-14, 0.50
2020-10-07, 0.50
2020-09-30, 0.50
2020-09-23, 0.50
2020-09-16, 0.50
2020-09-09, 0.50
2020-09-02, 0.50
2020-08-26, 0.50
2020-08-19, 0.50
2020-08-12, 0.50
2020-08-05, 0.50
2020-07-29, 0.50
2020-07-22, 0.50
2020-07-15, 0.50
2020-07-08, 0.50
2020-07-01, 0.50
2020-06-24, 0.50
